zone,x_upstream,y_upstream,x_core,y_core,x_downstream,y_downstream,l,l_over_xminusx0,b_over_a,detJ_upstream,traceJ_upstream,discJ_upstream,lambda1r_upstream,lambda1i_upstream,lambda2r_upstream,lambda2i_upstream,detJ_core,traceJ_core,discJ_core,lambda1r_core,lambda1i_core,lambda2r_core,lambda2i_core,detJ_downstream,traceJ_downstream,discJ_downstream,lambda1r_downstream,lambda1i_downstream,lambda2r_downstream,lambda2i_downstream,label
891,0.6743915,-0.00498973,0.699168,-0.003191005,0.708384,-0.001484075,0.0339925000000001,0.0491656093125747,0.371965370411477,-8274.45222909737,-19.452320627242,33476.2016941745,-101.208674618507,0.0,81.7563539912647,0.0,43479.342557044,6.11183826291042,-173880.015661224,3.05591913145521,208.494613636194,3.05591913145521,-208.494613636194,-55.4933518734771,36.1356380524008,1527.75774494802,-1.47545184223425,0.0,37.611089894635,0.0,0
817,0.4349295,-0.004235795,0.448514,-0.004726645,0.4546715,-0.004235795,0.019742,0.0443839429137333,0.453273951930512,4364.12731200746,10.7535639823976,-17340.8701097063,5.37678199119881,65.8423687865692,5.37678199119881,-65.8423687865692,88403.6438413927,14.9039392430203,-353392.447960611,7.45196962151016,297.234103006625,7.45196962151016,-297.234103006625,-41469.8266101985,-16.1302769047599,166139.492273818,-211.866200933552,0.0,195.735924028792,0.0,0
1204,0.0678738,0.000188797,0.07722935,6e-05,0.0890404,-0.000507121,0.0211666,0.269785653560991,1.26246452640411,-994964.352976546,-12.4527679365931,3980012.48333547,-1003.72481546274,0.0,991.272047526143,0.0,832465.056822135,-51.501163540195,-3327207.85744255,-25.7505817700975,912.031778152843,-25.7505817700975,-912.031778152843,-399203.990669527,17.1527748710176,1597110.18036388,-623.307735716015,0.0,640.460510587033,0.0,1
748,0.399084,-0.0007028545,0.4173845,-0.000507121,0.433443,-0.00267129,0.034359,0.0825414671235887,0.877489686074155,-12551.108164509,12.4939334197454,50360.5310303331,-105.958794094033,0.0,118.452727513778,0.0,41952.9994581525,-29.5759189577881,-166937.262850412,-14.7879594788941,204.289783671634,-14.7879594788941,-204.289783671634,-26275.9046552679,26.4121084130061,105801.218091892,175.841550095233,0.0,-149.429441682227,0.0,0
412,0.329168,-0.00159281,0.335053,-0.00109633,0.341028,-0.0010101525,0.01186,0.035392631409319,1.01529311809684,-74752.4729811947,-8.53671771834747,299082.767474182,-277.710659662369,0.0,269.173941944022,0.0,46893.1238367037,-4.44908543297468,-187552.700985625,-2.22454271648734,216.536775736608,-2.22454271648734,-216.536775736608,-25403.126393972,23.3883896734931,102159.522347407,171.506211239931,0.0,-148.117821566438,0.0,0
1333,0.3868305,-0.000447714,0.3881755,-0.0006345535,0.3949625,-0.001484075,0.008132,0.0208034607626316,5.04609665427493,-19132.4647527324,-2.5358405096973,76536.2894980203,137.058043954714,0.0,-139.593884464411,0.0,1775.03207007033,17.2917029590781,-6801.12528905634,8.64585147953902,41.2344676486078,8.64585147953902,-41.2344676486078,-25236.9116902929,-33.9248034528639,102098.539050487,-176.726711766634,0.0,142.80190831377,0.0,0
658,0.699168,-0.002362975,0.717713,-0.003191005,0.7561805,-0.00759904,0.0570124999999999,0.0783489315445749,2.07427878134269,-20671.5981593087,27.8659482045517,83462.9037065736,158.382709050608,0.0,-130.516760846056,0.0,34796.6085988321,2.15303686255175,-139181.798827597,1.07651843127588,186.535384597398,1.07651843127588,-186.535384597398,-10446.4950427731,-15.3822798928673,42022.5947057948,94.8059267259775,0.0,-110.188206618845,0.0,0
828,0.0324548,0.0002852035,0.0349036,0.0002852035,0.0385609,0.000391006,0.0061061,0.171964790884269,1.49350702384841,-13557995.0427073,113.483933425187,54244858.7739747,3739.29742366007,0.0,-3625.81349023489,0.0,20359213.9899571,18.5336951008379,-81436512.4619743,9.2668475504189,4512.10905403377,9.2668475504189,-4512.10905403377,-6003379.24062654,9.94754121173787,24013615.9160823,2455.1582491749,0.0,-2445.21070796316,0.0,1
993,0.5187885,-0.003788535,0.5258035,-0.004006965,0.5275705,-0.004006965,0.0087819999999999,0.0167858258972302,0.251888809693509,-19580.1433555838,-22.3323173670099,78819.3058213159,129.207722274916,0.0,-151.540039641926,0.0,40285.3357170943,-10.6311998431558,-161028.320458272,-5.31559992157791,200.641670932456,-5.31559992157791,-200.641670932456,19739.5023077657,-1.59244424983684,-78955.4733523742,-0.796222124918421,140.495082967674,-0.796222124918421,-140.495082967674,0
834,0.0497951,0.000188797,0.05173855,2e-05,0.05607275,0.000188797,0.00627765,0.118594077427661,2.23015770922844,-2823148.02770505,-38.9104342916983,11294106.132717,1660.88002713704,0.0,-1699.79046142874,0.0,2252453.49090117,162.073969279715,-8983545.99208659,81.0369846398575,1498.62820540041,81.0369846398575,-1498.62820540041,-3437397.95234433,132.944111254439,13767265.9460945,1921.68538204649,0.0,-1788.74127079205,0.0,1
1381,0.47682,-0.00170672,0.5240415,-0.006173395,0.5735355,-0.00498973,0.0967155,0.184157649481533,1.04812426542994,-14721.5250096954,-35.0339483201695,60113.477573682,-140.107224153388,0.0,105.073275833218,0.0,186732.759294685,-23.8097756043135,-746364.131764414,-11.9048878021568,431.961841996609,-11.9048878021568,-431.961841996609,-17814.2164403901,-17.7599616062509,71572.2819978159,124.885001533262,0.0,-142.644963139513,0.0,1
1242,0.02000285,0.000391006,0.02258265,0.0002852035,0.0257445,0.000336875,0.00574165,0.251015632599484,1.22561826498178,-27953090.6941198,-234.60575017831,111867402.634496,-5405.67225124131,0.0,5171.066501063,0.0,79664379.4302175,150.391562324421,-318634900.098852,75.1957811622104,8925.17366916258,75.1957811622104,-8925.17366916258,-18661530.1108779,-247.829174641684,74707539.7433153,4197.76158470186,0.0,-4445.59075934355,0.0,1
661,0.1651065,-0.0006345535,0.174698,-0.000391006,0.176102,-0.0006345535,0.0109955,0.0644503287579295,0.146379606943647,-84808.0301380521,42.8428245406368,341067.628166828,-270.583565498395,0.0,313.426390039032,0.0,54284.5772646689,4.88789387177093,-217114.417552174,2.44394693588546,232.977690751805,2.44394693588546,-232.977690751805,-18289.8449753078,31.7851963131188,74169.6786058947,152.063151696867,0.0,-120.277955383748,0.0,0
516,0.460904,-0.00251355,0.4640485,-0.001951075,0.473598,-0.004475515,0.012694,0.0271674110916831,3.03688980760059,-58362.9406180629,-45.657884406536,235536.404880732,-265.489407092345,0.0,219.831522685809,0.0,9116.08016367067,3.32969958339272,-36453.233755367,1.66484979169636,95.463649829879,1.66484979169636,-95.463649829879,-11596.0308635095,28.49573632411,47196.130442691,122.87122021249,0.0,-94.3754838883801,0.0,0
665,0.585095,-0.00300965,0.588995,-0.003380995,0.596867,-0.004235795,0.0117720000000001,0.0199194221134015,2.01846153846156,-6271.68704849953,4.00558616217119,25102.7929145007,81.2220977272713,0.0,-77.2165115651001,0.0,28986.0579718491,10.6888925751824,-115829.979462913,5.34444628759121,170.169018524901,5.34444628759121,-170.169018524901,-28329.5123761574,-12.3761626878207,113471.218907505,162.239365133427,0.0,-174.615527821247,0.0,0
982,0.520534,-0.001826055,0.5293425,-0.00170672,0.5364865,-0.00251355,0.0159524999999999,0.0301838989877678,0.811034795935736,-31141.1616672715,16.5652952245543,124839.055674963,-168.380206204649,0.0,184.945501429203,0.0,34304.6220762347,25.3447046270595,-136576.134252306,12.6723523135297,184.781042217746,12.6723523135297,-184.781042217746,-28084.6616587661,-3.54197281460763,112351.192206484,165.823160422533,0.0,-169.365133237141,0.0,0
